Account Name,Account Type,Account Number,Parent Account
OPERATING ACCOUNT,Bank,0-11000,CASH
CAPITAL ACCOUNT,Bank,0-11005,CASH
MANAGER'S ACCOUNT,Bank,0-11010,CASH
PETTY CASH,Bank,0-11015,CASH
CASH DRAWER - TILL,Bank,0-11020,CASH
CASH DRAWER - F&B TILL,Bank,0-11021,CASH
MONEY MARKET,Bank,0-11500,CASH
DEPOSITS IN TRANSIT,Bank,0-11900,CASH
A/R - MEMBERS & CONTRACTS,Other Current Asset,0-12000,ACCOUNTS RECEIVABLE
A/R - EMPLOYEE,Other Current Asset,0-12005,ACCOUNTS RECEIVABLE
ALLOWANCE FOR DOUBTFUL ACCOUNTS,Other Current Asset,0-12900,ACCOUNTS RECEIVABLE
DUE TO / FROM MEADOW LAKE LLC,Other Current Asset,0-14500,DUE TO/FROM AFFILIATES
DUE TO / FROM PINECREST,Other Current Asset,0-14505,DUE TO/FROM AFFILIATES
DUE TO / FROM ISLAND WEST,Other Current Asset,0-14510,DUE TO/FROM AFFILIATES
INVENTORY - CHEMICALS,Other Current Asset,0-15000,INVENTORY
INVENTORY - FERTILIZER,Other Current Asset,0-15005,INVENTORY
INVENTORY - SEED,Other Current Asset,0-15010,INVENTORY
INVENTORY - GRILL ROOM,Other Current Asset,0-15015,INVENTORY
INVENTORY - LIQUOR,Other Current Asset,0-15016,INVENTORY
INVENTORY - PRO SHOP,Other Current Asset,0-15020,INVENTORY
PREPAID EXPENSE,Other Current Asset,0-14000,PREPAID EXPENSES
LAND,Fixed Asset,0-17000,PROPERTY & EQUIPMENT
BUILDING,Fixed Asset,0-17005,PROPERTY & EQUIPMENT
EQUIPMENT,Fixed Asset,0-17010,PROPERTY & EQUIPMENT
FURNITURE & FIXTURES,Fixed Asset,0-17015,PROPERTY & EQUIPMENT
COMPUTERS & OFFICE EQUIPMENT,Fixed Asset,0-17020,PROPERTY & EQUIPMENT
ACCUMULATED DEPRECIATION,Fixed Asset,0-17500,PROPERTY & EQUIPMENT
OTHER IMPROVEMENTS,Fixed Asset,0-17050,PROPERTY & EQUIPMENT
GOLF SHOP-CAPITAL IMPRVMNT,Fixed Asset,1-17050,PROPERTY & EQUIPMENT
RANGE-CAPITAL IMPRVMNT,Fixed Asset,1-17055,PROPERTY & EQUIPMENT
FOOD & BEV-CAPITAL IMPRVMNT,Fixed Asset,3-17050,PROPERTY & EQUIPMENT
MAINTENANCE LAND-CAP IMPRVMNT,Fixed Asset,4-17050,PROPERTY & EQUIPMENT
IRRIGATION - CAP IMPROVEMENT,Fixed Asset,4-17055,PROPERTY & EQUIPMENT
ADMIN-CAPITAL IMPRVMNT,Fixed Asset,9-17050,PROPERTY & EQUIPMENT
ACQUISITION CLOSING COSTS,Other Asset,0-18000,INTANGIBLE ASSETS
FRANCHISE FEES,Other Asset,0-18005,INTANGIBLE ASSETS
LIQUOR LICENSE,Other Asset,0-18010,INTANGIBLE ASSETS
LOAN FEES,Other Asset,0-18020,INTANGIBLE ASSETS
GOODWILL,Other Asset,0-18030,INTANGIBLE ASSETS
REDESIGN/SUBDIVISION,Other Asset,0-18040,INTANGIBLE ASSETS
NON COMPETE PROVISION,Other Asset,0-18050,INTANGIBLE ASSETS
WEBSITE,Other Asset,0-18060,INTANGIBLE ASSETS
REFINANCING COSTS,Other Asset,0-18070,INTANGIBLE ASSETS
ACCUMULATED AMORTIZATION,Other Asset,0-18500,INTANGIBLE ASSETS
NOTES RECEIVABLE,Other Asset,0-19000,OTHER ASSETS
ACCOUNTS PAYABLE,Accounts Payable,0-20000,ACCOUNTS PAYABLE
ACCRUED EXPENSES,Other Current Liability,0-21000,ACCRUED EXPENSES
ACCRUED INSURANCE,Other Current Liability,0-21005,ACCRUED EXPENSES
ACCRUED INTEREST,Other Current Liability,0-21010,ACCRUED EXPENSES
ACCRUED PAYROLL,Other Current Liability,0-21015,ACCRUED EXPENSES
ACCRUED RE & PPT,Other Current Liability,0-21020,ACCRUED EXPENSES
ACCRUED INCOME TAX,Other Current Liability,0-21500,ACCRUED EXPENSES
CURRENT PORTION - LTD,Other Current Liability,0-24500,CURRENT PORTION OF LTD
DEFERRED INCOME - MONTHLY DUES,Other Current Liability,0-24000,DEFERRED REVENUE
DEFERRED INCOME - ANNUAL PASSES,Other Current Liability,0-24005,DEFERRED REVENUE
DEFERRED REVENUE - LEAGUES,Other Current Liability,0-24010,DEFERRED REVENUE
DEFERRED INCOME - PLAYERS CARDS,Other Current Liability,0-24015,DEFERRED REVENUE
DEFERRED INCOME - RANGE,Other Current Liability,0-24020,DEFERRED REVENUE
DEFERRED INCOME - CART,Other Current Liability,0-24025,DEFERRED REVENUE
DEPOSITS,Other Current Liability,0-20100,OTHER CURRENT LIABILITIES
GIFT CERTIFICATES PAYABLE,Other Current Liability,0-20200,OTHER CURRENT LIABILITIES
COMMISSIONS PAYABLE,Other Current Liability,0-20500,OTHER CURRENT LIABILITIES
CREDIT BOOK LIABILITY,Other Current Liability,0-20550,OTHER CURRENT LIABILITIES
RAIN CHECKS,Other Current Liability,0-20600,OTHER CURRENT LIABILITIES
DUE TO / FROM GLKC LLC,Other Current Liability,0-20700,OTHER CURRENT LIABILITIES
TIPS PAYABLE,Other Current Liability,0-20800,OTHER CURRENT LIABILITIES
SALES TAX PAYABLE,Other Current Liability,0-23001,SALES TAX PAYABLE
PERMANENT MORTGAGE A,Long Term Liability,0-25000,OTHER LIABILITIES
PERMANENT MORTGAGES B,Long Term Liability,0-25100,OTHER LIABILITIES
CAP LEASE PAYABLE - A,Long Term Liability,0-26000,OTHER LIABILITIES
CAP LEASE PAYABLE - B,Long Term Liability,0-26005,OTHER LIABILITIES
NOTES PAYABLE - INVESTORS,Long Term Liability,0-27000,OTHER LIABILITIES
Opening Balance Equity,Equity,30000,
RETAINED EARNINGS,Equity,0-30000,
PARTNERS EQUITY - CONT / DIST,Equity,0-30010,EQUITY
COMMON STOCK,Equity,0-30020,EQUITY
PREFERRED STOCK,Equity,0-30030,EQUITY
TREASURY STOCK,Equity,0-30040,EQUITY
DIVIDENDS,Equity,0-30050,EQUITY
CASH TO ACCRUAL ADJUSTMENT,Equity,0-30060,EQUITY
GOLF MONTHLY DUES,Income,1-40005,DUES
GOLF ANNUAL DUES,Income,1-40010,DUES
GOLF WEEKDAY DUES,Income,1-40015,DUES
GOLF CORPORATE DUES,Income,1-40020,DUES
SEASONAL FLEX MEMBER DUES,Income,1-40025,DUES
SWIM/TENNIS DUES,Income,1-40030,DUES
OTHER,Income,1-40035,DUES
ANNUAL PASSES - FY NET ADJ,Income,1-40050,DUES
ANNUAL PASSES - SY NET ADJ,Income,1-40051,DUES
INITIATION FEES,Income,1-41005,INITIATION / SEASON PASS
GOLF SINGLE,Income,1-41010,INITIATION / SEASON PASS
GOLF WEEKDAY,Income,1-41015,INITIATION / SEASON PASS
GOLF CORPORATE,Income,1-41020,INITIATION / SEASON PASS
SEASONAL GOLF,Income,1-41025,INITIATION / SEASON PASS
SWIM/TENNIS,Income,1-41030,INITIATION / SEASON PASS
OTHER - IJGA FEES,Income,1-41035,INITIATION / SEASON PASS
PLAYERS CARD,Income,1-41040,INITIATION / SEASON PASS
INITIATION - FY NET ADJUSTMENT,Income,1-41050,INITIATION / SEASON PASS
PLAYERS CARD - SY NET ADJ,Income,1-41051,INITIATION / SEASON PASS
18 HOLE WEEKDAY,Income,1-40110,GREENS FEES
9 HOLE WEEKDAY,Income,1-40115,GREENS FEES
CORPORATE WEEKDAY,Income,1-40120,GREENS FEES
18 HOLE DAILY FEE,Income,1-40125,GREENS FEES
LEAGUE WEEKDAY,Income,1-40130,GREENS FEES
MEMBER GUEST FEE,Income,1-40135,GREENS FEES
OUTING FEE,Income,1-40140,GREENS FEES
18 HOLE PROMOTIONAL,Income,1-40145,GREENS FEES
SENIOR / JUNIOR WEEKDAY,Income,1-40150,GREENS FEES
SPECIAL FEE WEEKDAY,Income,1-40155,GREENS FEES
SUPER TWILIGHT WEEKDAY,Income,1-40160,GREENS FEES
TWILIGHT WEEKDAY,Income,1-40165,GREENS FEES
MID DAY WEEKDAY,Income,1-40175,GREENS FEES
18 HOLE WEEKEND,Income,1-41110,GREENS FEES
9 HOLE WEEKEND,Income,1-41115,GREENS FEES
CORPORATE WEEKEND,Income,1-41120,GREENS FEES
9 HOLE DAILY FEE,Income,1-41125,GREENS FEES
LEAGUE WEEKEND,Income,1-41130,GREENS FEES
MEMBER GUEST WEEKEND,Income,1-41135,GREENS FEES
OUTING WEEKEND,Income,1-41140,GREENS FEES
PLAYERS CARD WEEKEND,Income,1-41145,GREENS FEES
SENIOR / JUNIOR WEEKEND,Income,1-41150,GREENS FEES
SPECIAL FEE WEEKEND,Income,1-41155,GREENS FEES
SUPER TWILIGHT WEEKEND,Income,1-41160,GREENS FEES
TWILIGHT WEEKEND,Income,1-41165,GREENS FEES
MID DAY WEEKEND,Income,1-41175,GREENS FEES
18 HOLE CART FEE,Income,1-40190,CART FEES
9 HOLE CART FEE,Income,1-40195,CART FEES
CART SPECIAL PLAY PASSES,Income,1-40200,CART FEES
MEMBER CART 18 WEEKDAY,Income,1-40205,CART FEES
MEMBER CART 9 WEEKDAY,Income,1-40210,CART FEES
PULL CARTS WEEKDAY,Income,1-40215,CART FEES
FREQUENT CART PLAN,Income,1-40240,CART FEES
FREQUENT CART PLAN - FY NET ADJ,Income,1-40250,CART FEES
FREQUENT CART PLAN - SY NET ADJ,Income,1-40251,CART FEES
HALF CART 18 WEEKEND,Income,1-41190,CART FEES
HALF CART 9 WEEKEND,Income,1-41195,CART FEES
CART SPECIAL WEEKEND,Income,1-41200,CART FEES
MEMBER CART 18 WEEKEND,Income,1-41205,CART FEES
MEMBER CART 9 WEEKEND,Income,1-41210,CART FEES
PULL CART WEEKEND,Income,1-41215,CART FEES
RANGE FEES,Income,1-10240,RANGE
LARGE - WEEKDAY,Income,1-10245,RANGE
RANGE PLAN - WEEKDAY,Income,1-10250,RANGE
RANGE PLAN - FY NET ADJ - WKDAY,Income,1-10251,RANGE
RANGE PLAN - SY NET ADJ - WKDAY,Income,1-10252,RANGE
SMALL - WEEKEND,Income,1-41240,RANGE
LARGE - WEEKEND,Income,1-41245,RANGE
RANGE PLAN - WEEKEND,Income,1-41250,RANGE
RANGE PLAN - FY NET ADJ - WKEND,Income,1-41251,RANGE
RANGE PLAN - SY NET ADJ - WKEND,Income,1-41252,RANGE
GIFT CERTIFICATES (EXPIRED),Income,1-40105,OTHER PRO SHOP INCOME
RAIN CHECK (EXPIRED),Income,1-40180,OTHER PRO SHOP INCOME
CLUB RENTAL INCOME,Income,1-40270,OTHER PRO SHOP INCOME
HANDICAP FEES,Income,1-40275,OTHER PRO SHOP INCOME
MISCELLANEOUS,Income,1-40280,OTHER PRO SHOP INCOME
LOCKER RENTAL,Income,1-40285,OTHER PRO SHOP INCOME
CLUB CLEANING AND STORAGE,Income,1-40290,OTHER PRO SHOP INCOME
LESSON INCOME,Income,1-40295,OTHER PRO SHOP INCOME
BAG STORAGE INCOME,Income,1-40300,OTHER PRO SHOP INCOME
SIGN SPONSORSHIP INCOME,Income,1-40305,OTHER PRO SHOP INCOME
POA MAINTENANCE INCOME,Income,1-40400,OTHER PRO SHOP INCOME
PRIVATE TRAIL INCOME,Income,1-40500,OTHER PRO SHOP INCOME
PRIVATE TRAIL INCOME-SY NET ADJ,Income,1-40505,OTHER PRO SHOP INCOME
TENNIS,Income,1-40055,OTHER MEMBERSHIP INCOME
TENNIS CLINIC FEES,Income,1-40060,OTHER MEMBERSHIP INCOME
POOL,Income,1-40065,OTHER MEMBERSHIP INCOME
SWIM TEAM REVENUE,Income,1-40070,OTHER MEMBERSHIP INCOME
RETURN CHECK CHARGE INCOME,Income,1-40075,OTHER MEMBERSHIP INCOME
LATE CHARGE,Income,1-40080,OTHER MEMBERSHIP INCOME
FINANCE CHARGE,Income,1-40085,OTHER MEMBERSHIP INCOME
OTHER MEMBERSHIP INCOME,Income,1-40090,OTHER MEMBERSHIP INCOME
RACQUET REPAIR,Income,1-40095,OTHER MEMBERSHIP INCOME
TRANSFER FEES,Income,1-40100,OTHER MEMBERSHIP INCOME
INDOOR CONTRACT RENTAL,Income,1-40310,OTHER MEMBERSHIP INCOME
INDOOR CONTRACT RENTAL- MBR,Income,1-40315,OTHER MEMBERSHIP INCOME
INDOOR CONTRACT RENTAL-NON MBR,Income,1-40320,OTHER MEMBERSHIP INCOME
SERVICE CHARGE,Income,3-40530,OTHER F&B INCOME
UNUSED MINIMUM SPENDING,Income,3-40535,OTHER F&B INCOME
ROOM RENTAL,Income,3-40540,OTHER F&B INCOME
CONSIGNMENT GOODS,Income,3-40545,OTHER F&B INCOME
MISCELLANEOUS,Income,3-40550,OTHER F&B INCOME
LICENSE FEES,Income,3-40595,OTHER F&B INCOME
PARKING - BANQUETS,Income,3-40600,OTHER F&B INCOME
BANQUET SURCHARGE,Income,3-40605,OTHER F&B INCOME
ROOM RENTAL,Income,2-40540,HOTEL / VILLA
SHOES,Income,2-40400,MERCHANDISE SALES
MENS' WEAR,Income,2-40405,MERCHANDISE SALES
LADIES' WEAR,Income,2-40410,MERCHANDISE SALES
PRO BALLS,Income,2-40415,MERCHANDISE SALES
GLOVES,Income,2-40420,MERCHANDISE SALES
CLUBS,Income,2-40425,MERCHANDISE SALES
MISCELLANEOUS MERCHANDISE,Income,2-40430,MERCHANDISE SALES
CLUB REPAIRS,Income,2-40435,MERCHANDISE SALES
HEADWEAR,Income,2-40440,MERCHANDISE SALES
GRILL FOOD,Income,3-41500,GRILL ROOM SALES
GRILL LIQUOR,Income,3-41505,GRILL ROOM SALES
GRILL BEER,Income,3-41510,GRILL ROOM SALES
GRILL WINE,Income,3-41515,GRILL ROOM SALES
GRILL SOFT DRINKS,Income,3-41520,GRILL ROOM SALES
TOBACCO,Income,3-41525,GRILL ROOM SALES
OUTING FOOD,Income,3-42500,OUTING SALES
RESTAURANT LIQUOR,Income,3-42505,OUTING SALES
OUTING BEER,Income,3-42510,OUTING SALES
OUTING WINE,Income,3-42515,OUTING SALES
BANQUET FOOD,Income,3-43500,BANQUET SALES
BANQUET LIQUOR,Income,3-43505,BANQUET SALES
BANQUET BEER,Income,3-43510,BANQUET SALES
BANQUET WINE,Income,3-43515,BANQUET SALES
BANQUET SOFT DRINKS,Income,3-43520,BANQUET SALES
CONCESSION/POOL FOOD,Income,3-44500,CONCESSION / POOL SALES
CONCESSION/POOL BEER,Income,3-44510,CONCESSION / POOL SALES
CONCESSION/POOL VENDING,Income,3-44520,CONCESSION / POOL SALES
BEVERAGE CART FOOD,Income,3-45500,BEVERAGE CART
BEVERAGE CART LIQUOR,Income,3-45505,BEVERAGE CART
BEVERAGE CART BEER,Income,3-45510,BEVERAGE CART
BEVERAGE CART WINE,Income,3-45515,BEVERAGE CART
COST OF SHOES,Cost of Goods Sold,2-50400,MERCHANDISE COST OF GOODS
COST OF MEN'S WEAR,Cost of Goods Sold,2-50405,MERCHANDISE COST OF GOODS
COST OF LADIES' WEAR,Cost of Goods Sold,2-50410,MERCHANDISE COST OF GOODS
COST OF PRO BALLS,Cost of Goods Sold,2-50415,MERCHANDISE COST OF GOODS
COST OF GLOVES,Cost of Goods Sold,2-50420,MERCHANDISE COST OF GOODS
COST OF CLUBS,Cost of Goods Sold,2-50425,MERCHANDISE COST OF GOODS
COST OF MISC MERCHANDISE,Cost of Goods Sold,2-50430,MERCHANDISE COST OF GOODS
COST OF CLUB REPAIRS,Cost of Goods Sold,2-50435,MERCHANDISE COST OF GOODS
COST OF HEADWEAR,Cost of Goods Sold,2-50440,MERCHANDISE COST OF GOODS
GRILL COST OF FOOD,Cost of Goods Sold,3-51100,GRILL COST OF GOODS
GRILL COST OF LIQUOR,Cost of Goods Sold,3-51105,GRILL COST OF GOODS
GRILL COST OF BEER,Cost of Goods Sold,3-51110,GRILL COST OF GOODS
GRILL COST OF WINE,Cost of Goods Sold,3-51115,GRILL COST OF GOODS
GRILL COST OF SOFT DRINKS,Cost of Goods Sold,3-51120,GRILL COST OF GOODS
COST OF TOBACCO,Cost of Goods Sold,3-51125,GRILL COST OF GOODS
WAGES - GOLF SHOP,Expense,1-60005,PRO SHOP LABOR
WAGES - GOLF CARS,Expense,1-60010,PRO SHOP LABOR
WAGES - PROFESSIONAL #3,Expense,1-60015,PRO SHOP LABOR
WAGES - ASSISTANT PRO,Expense,1-60020,PRO SHOP LABOR
WAGES - CLERKS,Expense,1-60025,PRO SHOP LABOR
WAGES - CARTS,Expense,1-60030,PRO SHOP LABOR
WAGES - STARTER/MARSHALL,Expense,1-60035,PRO SHOP LABOR
WAGES - PRO SHOP,Expense,1-60040,PRO SHOP LABOR
CONTRACT LABOR - PRO SHOP,Expense,1-60300,PRO SHOP LABOR
BONUSES - PRO SHOP,Expense,1-60350,PRO SHOP LABOR
PAYROLL TAXES,Expense,1-60450,PRO SHOP LABOR
EMPLOYEE INSURANCE,Expense,1-60500,PRO SHOP LABOR
WAGES - FITNESS,Expense,2-60060,FITNESS
CONTRACT LABOR,Expense,2-60300,HOTEL / VILLA LABOR
BONUSES,Expense,2-60350,HOTEL / VILLA LABOR
PAYROLL TAXES,Expense,2-60450,HOTEL / VILLA LABOR
EMPLOYEE INSURANCE,Expense,2-60500,HOTEL / VILLA LABOR
WAGES - MANAGER,Expense,3-60060,FOOD AND BEVERAGE LABOR
WAGES - ASSISTANT MANAGER,Expense,3-60065,FOOD AND BEVERAGE LABOR
WAGES - KITCHEN MANAGER,Expense,3-60070,FOOD AND BEVERAGE LABOR
WAGES - CHEFS,Expense,3-60075,FOOD AND BEVERAGE LABOR
WAGES - COOKS,Expense,3-60080,FOOD AND BEVERAGE LABOR
WAGES - BARTENDER,Expense,3-60085,FOOD AND BEVERAGE LABOR
WAGES - SERVER,Expense,3-60090,FOOD AND BEVERAGE LABOR
WAGES - DISHWASHER,Expense,3-60095,FOOD AND BEVERAGE LABOR
WAGES - GRILL ROOM,Expense,3-60100,FOOD AND BEVERAGE LABOR
WAGES - CONCESSION/UTILITY,Expense,3-60105,FOOD AND BEVERAGE LABOR
WAGES - HOST/HOSTESS,Expense,3-60110,FOOD AND BEVERAGE LABOR
WAGES - BEVERAGE CART,Expense,3-60115,FOOD AND BEVERAGE LABOR
WAGES - BEVERAGE DEPARTMENT,Expense,3-60120,FOOD AND BEVERAGE LABOR
CONTRACT LABOR - F&B,Expense,3-60300,FOOD AND BEVERAGE LABOR
BONUSES - F&B,Expense,3-60350,FOOD AND BEVERAGE LABOR
PAYROLL TAXES,Expense,3-60450,FOOD AND BEVERAGE LABOR
EMPLOYEE INSURANCE,Expense,3-60500,FOOD AND BEVERAGE LABOR
WAGES - COURSE MAINTENANCE,Expense,4-60150,COURSE MAINTENANCE LABOR
WAGES - ASST SUPERINTENDENT,Expense,4-60155,COURSE MAINTENANCE LABOR
WAGES - CLUB MECHANIC,Expense,4-60160,COURSE MAINTENANCE LABOR
